Feature,Importance,Std
glcm_correlation_10,0.0008888888888889113,0.0033259176771323873
hist_bin_1,0.0008888888888889113,0.0033259176771323873
hist_bin_3,0.0008888888888889113,0.003014368881388998
hist_bin_11,0.0008888888888889057,0.002666666666666662
glcm_correlation_11,0.0008888888888889002,0.0026666666666666726
glcm_contrast_0,0.0008888888888888946,0.0017777777777777891
hist_bin_4,0.0008888888888888946,0.0017777777777777891
hog_53,0.0008888888888888946,0.0017777777777777891
glcm_contrast_4,0.0008888888888888946,0.002266230894930141
edge_density,0.0006666666666666765,0.0021198648920376572
glcm_dissimilarity_6,0.0006666666666666765,0.0021198648920376572
glcm_energy_11,0.000666666666666671,0.0015869840952317544
glcm_energy_9,0.000666666666666671,0.0015869840952317544
glcm_energy_8,0.000666666666666671,0.0015869840952317544
hist_bin_0,0.000666666666666671,0.0015869840952317544
hog_17,0.000666666666666671,0.0015869840952317544
glcm_energy_10,0.000666666666666671,0.0015869840952317544
hog_37,0.00044444444444445287,0.0019372884193514092
hog_12,0.00044444444444445287,0.0019372884193514092
glcm_energy_6,0.0004444444444444473,0.0013333333333333422
glcm_energy_7,0.0004444444444444473,0.0013333333333333422
glcm_energy_3,0.0004444444444444473,0.0013333333333333422
glcm_energy_4,0.0004444444444444473,0.0013333333333333422
glcm_dissimilarity_0,0.0004444444444444473,0.0013333333333333422
glcm_correlation_9,0.0004444444444444473,0.0019372884193514226
glcm_correlation_4,0.0004444444444444473,0.0013333333333333422
glcm_energy_5,0.0004444444444444473,0.0013333333333333422
hog_9,0.0004444444444444473,0.0013333333333333422
glcm_dissimilarity_2,0.0004444444444444473,0.0013333333333333422
glcm_energy_1,0.0004444444444444473,0.0013333333333333422
lbp_2,0.0004444444444444473,0.0013333333333333422
hog_27,0.0004444444444444473,0.0013333333333333422
hog_54,0.0004444444444444473,0.0013333333333333422
hog_36,0.0004444444444444473,0.0013333333333333422
hog_52,0.0004444444444444473,0.0013333333333333422
hog_45,0.0004444444444444473,0.001333333333333342
hog_48,0.00022222222222223476,0.0022110831935702575
hist_bin_15,0.00022222222222223476,0.0022110831935702575
glcm_contrast_6,0.0002222222222222292,0.002211083193570269
glcm_correlation_1,0.0002222222222222292,0.0017069212773041312
hog_5,0.0002222222222222292,0.0017069212773041312
glcm_correlation_5,0.0002222222222222292,0.0017069212773041312
glcm_dissimilarity_1,0.00022222222222222364,0.0009686442096757113
glcm_correlation_7,0.00022222222222222364,0.0009686442096757113
glcm_correlation_3,0.00022222222222222364,0.0009686442096757113
glcm_energy_0,0.00022222222222222364,0.0009686442096757113
hog_44,0.00022222222222222364,0.0009686442096757113
glcm_contrast_2,0.00022222222222222364,0.0009686442096757113
